COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
666,3700093077,BOLD POWDER $1.00 OF,72 OZ,8,2874201
666,3700093205,~CHEER REG POLY REFI,152 OZ,4,2877001
666,3700093210,CHEER REGULAR DETERG,17 OZ,24,2820010
666,3700093218,~ULTRA CHEER W/COLOR,45 OZ,10,2860371
666,3700093219,~ULTRA CHEER W/ CLR,77 OZ,8,2860381
666,3700093220,~ULTRA CHEER COLOR G,106 OZ,4,2860451
666,3700093240,CHEER PWDR W/COLOR G,136 OZ,4,2871811
666,3700093241,CHEER POWDER ULTRA 2,22 OZ,12,2870131
666,3700093243,CHEER POWDER ULTRA 2,92 OZ,4,2870151
666,3700093244,CHEER POWDER ULTRA 2,142 OZ,4,2870161
666,3700093245,CHEER POWDER ULTRA 2,186 OZ,3,2870171
666,3700093254,CHEERFREE POWDER ULT,92 OZ,4,2870191
666,3700093257,CHEER W/BLEACH POWDE,87 OZ,4,2870211
666,3700093271,~ULTRA CHEER FREE 42,98 OZ,4,2860231
666,3700093281,~ULTRA CHEER FREE 18,42 OZ,10,2860191
666,3700093290,CHEER DETERGENT GIAN,42 OZ,14,287170
666,3700093305,LEMON DASH,176 OZ,4,2876821
666,3700093342,~ULTRA DASH,89 OZ,4,2876861
666,3700093343,~ULTRA DASH,38 OZ,10,2876841
666,3700093344,ULTRA DASH,179 OZ,3,2876881
666,3700093422,DREFT POWERED DETERG,39 OZ,14,2866201
666,3700093501,OXYDOL POWDER ULTRA,87 OZ,4,2870241
666,3700093610,NP TIDE DET SCNTD RE,16 OZ,24,2873401
666,3700093643,~TDE REG POLYBG REFI,152 OZ,4,2876981
666,3700093650,TIDE-ECONOMY-SIZE,368 OZ,1,2873751
666,3700093651,ULTRA TIDE SCENTED 1,280 OZ,1,2859981
666,3700093673,TIDE SCENTED POWDER,22 OZ,12,2870001
666,3700093675,TIDE SCENTED POWDER,92 OZ,4,2870021
666,3700093676,TIDE SCENTED POWDER,186 OZ,3,2870041
666,3700093678,TIDE SCENTED POWDER,142 OZ,4,2870031
666,3700093690,TIDE DETERGENT GIANT,39 OZ,14,2873501
666,3700093721,GAIN W/BLEACH ULTRA,87 OZ,4,2870261
665,3700095100,LIQ CHEER FREE KING,64 OZ,9,2867901
665,3700095102,LIQUID CHEER,64 OZ,9,2867901
665,3700095104,LQ CHEER FREE PP $3.,64 OZ,9,2867901
665,3700095113,~CHEER FREE LIQ,50 OZ,8,2867521
665,3700095114,LQ CHEERFREE,100 OZ,4,2867491
665,3700095116,~LIQ CHEERFREE REFIL,40 OZ,12,2867551
665,3700095118,~CHEER FREE LIQ REFI,90 OZ,6,2867571
665,3700095130,LIQ CHEER FREE FAMIL,128 OZ,4,2867911
665,3700095136,~CHEER LIQ REGULAR,200 OZ,2,2868761
